source,kind,status,public_url,target_or_canonical,repo_path,title,notes
archivo,activa,200,https://clickie.io/recursos/blog/datos-en-ahorros.html,https://clickie.io/recursos/blog/datos-en-ahorros.html,recursos/blog/datos-en-ahorros.html,Cómo en Clickie convertimos datos en ahorros de energía | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/edificios-una-oportunidad-para-reducir-la-demanda-energetica-global.html,https://clickie.io/recursos/blog/edificios-una-oportunidad-para-reducir-la-demanda-energetica-global.html,recursos/blog/edificios-una-oportunidad-para-reducir-la-demanda-energetica-global.html,Edificios: Una Oportunidad para Reducir la Demanda Energética Global | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/edificios-verdes-y-monitoreo-de-energia-con-clickie.html,https://clickie.io/recursos/blog/edificios-verdes-y-monitoreo-de-energia-con-clickie.html,recursos/blog/edificios-verdes-y-monitoreo-de-energia-con-clickie.html,Edificios Verdes y Monitoreo de Energía con Clickie | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/el-impacto-del-aumento-de-tarifas-de-energia-electrica-en-chile.html,https://clickie.io/recursos/blog/el-impacto-del-aumento-de-tarifas-de-energia-electrica-en-chile.html,recursos/blog/el-impacto-del-aumento-de-tarifas-de-energia-electrica-en-chile.html,El Impacto del Aumento de Tarifas de Energía Eléctrica en Chile | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/el-problema-no-es-el-consumo-energetico-en-retail-es-la-falta-de-decisiones.html,https://clickie.io/recursos/blog/el-problema-no-es-el-consumo-energetico-en-retail-es-la-falta-de-decisiones.html,recursos/blog/el-problema-no-es-el-consumo-energetico-en-retail-es-la-falta-de-decisiones.html,El problema no es el consumo energético en retail. Es la falta de decisiones | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/el-rol-del-gestor-energetico-clave-para-la-eficiencia-y-sostenibilidad-empresarial.html,https://clickie.io/recursos/blog/el-rol-del-gestor-energetico-clave-para-la-eficiencia-y-sostenibilidad-empresarial.html,recursos/blog/el-rol-del-gestor-energetico-clave-para-la-eficiencia-y-sostenibilidad-empresarial.html,El Rol del Gestor Energético: Clave para la Eficiencia y Sostenibilidad Empresarial | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/energia-datos-y-futuro-clickie-visito-la-expo-osaka-2025.html,https://clickie.io/recursos/blog/energia-datos-y-futuro-clickie-visito-la-expo-osaka-2025.html,recursos/blog/energia-datos-y-futuro-clickie-visito-la-expo-osaka-2025.html,"Energía, datos y futuro: Clickie visitó la Expo Osaka 2025 | Blog Clickie",
archivo,activa,200,https://clickie.io/recursos/blog/equipos-que-funcionan-pero-ya-estan-fallando-lo-que-la-curva-de-energia-detecta-antes-del-service.html,https://clickie.io/recursos/blog/equipos-que-funcionan-pero-ya-estan-fallando-lo-que-la-curva-de-energia-detecta-antes-del-service.html,recursos/blog/equipos-que-funcionan-pero-ya-estan-fallando-lo-que-la-curva-de-energia-detecta-antes-del-service.html,"Equipos que funcionan, pero ya están fallando: lo que la curva de energía detecta antes del service | Blog Clickie",
archivo,activa,200,https://clickie.io/recursos/blog/esg-datos-reales-trazabilidad-energia.html,https://clickie.io/recursos/blog/esg-datos-reales-trazabilidad-energia.html,recursos/blog/esg-datos-reales-trazabilidad-energia.html,"ESG con datos reales: por qué una factura no alcanza para reportar energía, agua y gas | Blog Clickie",
archivo,activa,200,https://clickie.io/recursos/blog/la-araucana-co2.html,https://clickie.io/recursos/blog/la-araucana-co2.html,recursos/blog/la-araucana-co2.html,Cómo La Araucana redujo su huella de carbono un 14% con Clickie | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/la-energia-dejo-de-ser-un-gasto-conoce-como-la-energy-cloud-te-hace-ganar-control-y-eficiencia.html,https://clickie.io/recursos/blog/la-energia-dejo-de-ser-un-gasto-conoce-como-la-energy-cloud-te-hace-ganar-control-y-eficiencia.html,recursos/blog/la-energia-dejo-de-ser-un-gasto-conoce-como-la-energy-cloud-te-hace-ganar-control-y-eficiencia.html,La energía dejó de ser un gasto. Conoce cómo la Energy Cloud te hace ganar control y eficiencia. | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/la-hora-del-planeta-mas-que-apagar-las-luces.html,https://clickie.io/recursos/blog/la-hora-del-planeta-mas-que-apagar-las-luces.html,recursos/blog/la-hora-del-planeta-mas-que-apagar-las-luces.html,La Hora del Planeta: Más que apagar las luces | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/las-empresas-consumidoras-de-energia-estan-cambiando-las-reglas-del-juego-en-el-sector-energetico-entrevista-a-marcelo-llevenes-ceo-de-clickie.html,https://clickie.io/recursos/blog/las-empresas-consumidoras-de-energia-estan-cambiando-las-reglas-del-juego-en-el-sector-energetico-entrevista-a-marcelo-llevenes-ceo-de-clickie.html,recursos/blog/las-empresas-consumidoras-de-energia-estan-cambiando-las-reglas-del-juego-en-el-sector-energetico-entrevista-a-marcelo-llevenes-ceo-de-clickie.html,"Entrevista a Marcelo Llévenes, CEO de Clickie | Blog Clickie",
